Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
Independent Imperial Pilsner,4.0,4.2,4.5,4.5,,Pilsner,Longwood Brewery,Delicious and unique BC craft beer,Quite strong and hoppy for a pilsner,Unique Pilsner for the craft beer drinker that wants to take a light style to the edge.,6.5%,70,650,2014-Jun-23,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Longwood Brewery, Pilsner, Top BC Beers, Types Of Beer, Vancouver Island Breweries","imperial pilsner, longwood, pilsner","The Longwood Brewery, out of Nanaimo BC has brewed up a beer unique to the province s unique roster of craft beer. The Imperial Pilsner style is rather foreign to the area but Longwood has brewed up a brand new option for BC craft beer enthusiasts. The Independent Pilsner pours from the beautifully decorated bottle a golden-amber colour, topped with a finger and a half of lacing head. The colour of this beer is slightly darker than typical but this is also not your typical Pilsner. The beer smells crisp and fresh like a Pilsner should but also has a defined body to it with a strong hop along side. The flavour starts off crisp with a slightly oily texture which builds into a big-bodied beer. The flavour is not boozy but the higher than typical alcohol content is definitely apparent. In the Independent Pilsner s mid-section through to the finish, a categorically strong hop takes charge leaving a slightly piney, hop bitter finish. The Independent Imperial Pilsner is a unique beer by BC standards but is extremely well crafted and subsequently delicious. You need to try this beer!",http://beermebc.com/2014/06/23/longwood-brewery-independent-imperial-pilsner/
Bitterleaf IPA,4.0,4.0,4.5,4.0,,India Pale Ale,Green Leaf Brewing Co.,,,,8%,79,650,2014-Jun-22,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Green Leaf Brewing Co., IPA, Top BC Beers, Types Of Beer","green leaf, ipa","The Bitterleaf IPA comes from Lonsdale Quay s Green Leaf Brewing Company. This North Vancouver based brewery has created a big IPA with a high 79IBUs and an 8% ABV. The beer pours a slightly cloudy copper colour topped with three thick fingers of head. The slow to settle head leaves a thick layer of lacing on the glasses sides. The aroma is sweet with caramel and strong of northwest style, piney hops. Caramel tones balance the equation in a rather smooth way considering the high IBU rating. The flavour has a defined caramel sweetness to it with a touch of burnt tones. The hop bitterness is also rather defined and intense but the sweetness and mild burnt tones make for a smooth and balanced flavour. The Bitterleaf is not your typical BC IPA but it is quite delicious and balances great BC flavours into a complex and very enjoyable IPA.",http://beermebc.com/2014/06/22/green-leaf-brewing-co-bitterleaf-ipa/
Ryder Hesjedal s Tour De Victoria Kolsch,4.5,4.0,4.0,3.7,,Kolsch,Spinnakers Brewery,"Smooth, light and refreshing",Disappears very quickly,Easy drinking summer beer perfect for after a long bike ride.,4.8%,,6,2014-Jun-16,dustansept,"4.0% - 4.9%, ABV, Brewery Regions, Kolsch, Spinnaker's Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","kolsch, spinnakers, tour de victoria","There is true pride when it comes to BC beer drinkers and BC breweries. The same can be said when it comes to BC cyclists and elite road racer Ryder Hesjedal. Spinnaker s Brewery has paid tribute to Hejedal s BC past and future with the Tour De Victoria Kolsch style ale. This beer pours from the can a golden colour topped with three fingers of slowly settling head. Through this lacing head comes crisp notes of summer with a mild sweetness and light hop. This beer smells as a traditional Kolsch should   it is light and refreshing with a bit more body than you would expect from a Pilsner or lager. The flavour is similar with a light and refreshing taste, light citrus notes and a smooth malted base. The slightest of hops and a smidgen of sweetness also come through in a very smooth, refreshing and sessionable package. This is the beer for the summer. Whether you are hiking, sitting on the patio or participating in the Tour De Victoria this very well could be your favorite beer for the summer!",http://beermebc.com/2014/06/16/spinnakers-brewery-ryder-hesjedals-tour-de-victoria-kolsch/
Spruce Tree Ale,4.2,3.8,4.0,4.0,,"Golden Ale, Spruce",Tofino Brewing Co.,Nice BC inspired Golden Ale,Spruce flavour could be bigger,An introductory Spruce beer with mild tones on a solid Golden Ale.,5%,,650,2014-Jun-11,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Golden Ale, Tofino Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","golden, spruce, tofino","What used to be called the Spruce Lee has been reformulated and released as the Spruce Tree Ale from Vancouver Island s Tofino Brewing Company. This young growth spruce tree tip infused ale is a true BC flavour. Pouring from the bottle as a golden colour topped with two and half fingers of loosely packed, slow to settle head. The aroma coming from the Spruce Tree Ale is rather light. A malt forward, lightly hopped and mid-sweet aroma comes with a touch of piney, sap like scent. The Spruce content is rather subtle and not as strong as you may expect. The flavour packs a bit more of a spruce punch right off the back in a big malt package. This beer is technically a golden ale and is brewed with northwest style hops. The Sitka Spruce infusion adds a kick to the start and leaves a lingering flavour with the dry finish. The spruce here does not take over but is a welcome addition of BC inspired craft beer flavour.",http://beermebc.com/2014/06/11/tofino-brewing-co-spruce-tree-ale/
Skaha Summer Ale,4.0,3.9,4.2,4.0,,Kolsch,Cannery Brewing Co.,Light but complex flavours,Complexity can easily be overlooked,Light and easy drinking beer with a touch more to it than meets the eye.,5%,20,650,2014-Jun-07,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Cannery Brewing Co., Kolsch, Okanagan Breweries, Top BC Beers, Types Of Beer","cannery, kolsch","New from Cannery Brewing out of Penticton BC is the Skaha Summer Ale. This beer is inspired by summer days at the lake and a laid back style to BC Summers. Brewed as a Kolsch this Ale is actually a Lager but we will keep that on the DL unless someone gets specific with their interrogation. From the bomber bottle the Skaha pours a light, golden-straw colour with a thick finger of lacing head topping the glass. Through this thin but dense head comes notes of green apple, subtle tropical fruit, German malts, light hops and an overall crisp and dry nose. The flavour is light but fairly complex. The mouthfeel is crisp with apple and fruit tones extenuating the crisp nature of the beer. German malts make for a refreshing and rather smooth flavour with a slight hop to balance the equation. The finish is quite dry and leaves the palate quenching for more. The Skaha Summer Ale is a beer that would be easy to drink and not make a second thought about it. With a little concentration though the complexity here is rather tantalizing. The flavours are subtle but make for a very enjoyable, sessionable and rather unique summer beer.",http://beermebc.com/2014/06/07/cannery-brewing-co-skaha-summer-ale/
PrevAle Collaboration Beer,4.0,4.2,4.3,4.3,,California Common,Vancouver Craft Beer Week,Nice malted notes and mellow sweetness,Won't be around for long,The best in BC craft beer came together to make a fantastic California Common.,7%,70,650,2014-Jun-06,dustansept,"7.0% - 7.9%, ABV, California Common, Top BC Beers, Types Of Beer","california common, central city, phillips, vcbw","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2014/06/06/vancouver-craft-beer-week-prevale-collaboration-beer/
Pilsner,4.5,4.5,4.2,4.0,,Pilsner,Four Winds Brewing,Flavourful and sessionable pilsner,Outside of Pilsner tradition,Delicios and refreshing Pilsner,4.8%,38,330,2014-Jun-04,dustansept,"4.0% - 4.9%, ABV, Brewery Regions, Four Winds Brewing Co., Greater Vancouver Breweries, Pilsner, Top BC Beers, Types Of Beer","four winds, pilsner",In the small-bottle four packs flowing out of Delta BC s Four Winds Brewing comes the Pilsner. This BC-style pilsner pours from the bottle a slightly darker than expected amber colour with two fingers of head topping the glass. This head smells lightly sweet with caramel along side czech style malts and a New Zealand hop. The flavour is big for a pilsner but still very sessionable. The caramel tones add s sweetness and smoothness to the front before the hops and malts build mid-way through. Hoppier and sweeter than you may expect Four Winds has done a great job of balancing tradition with a desire for more flavour and a BC infusion to traditional styling.,http://beermebc.com/2014/06/04/four-winds-brewing-pilsner/
Red Wood Wine Barrel Aged Ale,4.0,4.2,4.5,4.0,,"Barrel Aged, India Pale Ale",Tree Brewing Co.,"Balanced, Okanagan twist on a Tree classic brew",Wine barrel aged beers are not for everyone.,Location inspired twist on a Tree Brewing favourite brew.,5.0%,,750,2014-May-17,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, IPA, Okanagan Breweries, Top BC Beers, Tree Brewing Co., Types Of Beer","tree, wine barrel","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2014/05/17/tree-brewing-co-red-wood-wine-barrel-aged-ale/
30 Years Imperial Red Ale,4.0,4.0,4.0,4.0,,"Imperial Red Ale, Red Ale",Vancouver Island Brewery,Nice toasted flavours with big body,A touch burnt and quite strong,Big and bold Imperial Red Ale with a strong toasted back.,8.5%,,650,2014-May-12,dustansept,"8.0% - 8.9%, ABV, Red Ale, Top BC Beers, Types Of Beer, Vancouver Island Breweries, Vancouver Island Brewery","imperial, red ale, vancouver island","Vancouver Island Brewery was founded way back in 1984 making 2014 its 30th anniversary. To commemorate this landmark occasion the Thirty Years is an imperial Red Ale that signifies the flavour, progression and growth that Vancouver Island Brewery and the BC Craft Beer Industry has seen. This beer pours a deep and dark amber-brown colour topped with nearly three fingers of thick and lacing head. Through this head comes tones of caramel, toasted malt, hop and a touch of oak. The flavour is rather rich with a slightly burnt flavour along side a solid hop and caramel. The booze in this is rather noticeable but does not come across as over the top. Rather it adds to the body and makes for a smooth and enjoyable Imperial Red Ale from one of BC s oldest breweries.",http://beermebc.com/2014/05/12/vancouver-island-brewery-30-years-imperial-red-ale/
Thor s Hammer Barley Wine (2014),4.0,4.5,4.5,4.3,,Barley Wine,Central City Brewing Co.,"Mid-sweet, nice hop, not overly boozy",Waiting for this to age will not be easy,A fantastic Barley Wine for today or a year from now.,11.5%,90,650,2014-May-08,dustansept,"10+%, ABV, Barley Wine, Brewery Regions, Central City Brewers & Distillers, Greater Vancouver Breweries, Top BC Beers, Types Of Beer","barley wine, central city","The Thor s Hammer is back for another year of fighting for the survival of Earth. In 2014 this Central City Brewer s bottle conditioned Barley Wine tips the scales at 11.5% and wears a golden crown of wax which is waiting to visit your cellar well through the winter. This year s Thor s Hammer pours a cloudy, deep and dark amber colour topped with a finger and a half of lacing head. Through the overlying head comes a caramel-infused, cop centric aroma with a kick of alcohol. The balance is rather exquisite but the beer is forecast rather large. The flavour starts off smooth for being so young with a caramel like sweetness that ads great body. The hops build rather quickly into the central booziness of the beer. The finish is a combo 1-2 punch of hops and alcohol in a relatively smooth package. This year s Thor s Hammer is very good right now and that will only improve. The beer is great but with a year or two spent in your cellar this Barley Wine will turn into something fantastic. Don t believe me? give it a year or so and find out for yourself!",http://beermebc.com/2014/05/08/central-city-brewing-co-thors-hammer-barley-wine-2014/
Cardena Belgian Quad,3.8,4.2,4.4,4.0,,"Belgian, Belgian Quad",Townsite Brewing Inc.,Strong dried fruit tones,Very strong flavour,delicious and complex Belgian Quad.,10.5%,30,650,2014-May-01,dustansept,"10+%, ABV, Belgian, Brewery Regions, Greater Vancouver Breweries, Quad, Top BC Beers, Townsite Brewing Inc., Types Of Beer","belgian, quad, townsite","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2014/05/01/townsite-brewing-inc-cardena-belgian-quad/
Rum Runner Red Ale,4.0,3.9,4.2,4.0,,Red Ale,Persephone Brewing Co.,Nice Oak and hop flavours,hard to find,Nice Red Ale with distinct oakiness,6%,,650,2014-Apr-30,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Persephone Brewing Co., Red Ale, Top BC Beers, Types Of Beer","persephone, red ale","Persephone Brewing has exploded launching their bottled lineup with vigor. While these brews may not be widely available yet if you keep a keen eye you may just stumble across a bottle of the Rum Runner Red Ale. This beer pours a deep copper colour topped with two fingers of lacing head. As the slow to settle top disperses a hopped aroma comes through with a light oak flavour. Additionally a caramel sweetness livens the beer and gives it a rather intoxicating scent. The flavour is big with hops and rather smooth with a light rum-oak sweetness. The toasted sweetness comes through strong and mellows the hop nicely. An oaked flavour smooths out the flavour profile nicely making for a smooth and quite enjoyable, hop-forward beer. If you can find Persephone s Rum Runner Red Ale give it a try   it is quite nice!",http://beermebc.com/2014/04/30/persephone-brewing-co-rum-runner-red-ale/
Triplicity Belgian Tripel,3.8,4.3,4.5,4.0,,Belgian Tripel,Four Winds Brewing Co.,Strong but still light and enjoyable,Packs a serious punch,A delicious Belgian Triple with a solid punch of flavour,9%,33,750,2014-Apr-26,dustansept,"9.0% - 9.9%, ABV, Belgian, Brewery Regions, Four Winds Brewing Co., Greater Vancouver Breweries, Top BC Beers, Tripel, Types Of Beer","four winds, tripel","Four winds has released another beer in their Eurus series called the Triplicity and it is an unfiltered, bottle conditioned Belgian Tripel. Thie beer is corked with a champagne style top and pours from the large 750ml bottle a lightly clouded, golden colour topped with three fingers of head which leaves a light lacing on the glass  sides.  Through this head comes a wheaty, big malt beer with yeasty notes and a honey sweetness. Despite being 9% ABV the aroma does not forecast an overly boozy beer. The flavour starts off with a big malted body along side a Belgian-wheat flavour and a mild honey-like sweetness. Light clove notes come into play but remain rather subdued. As the flavour approaches the finish a mild hop comes into play with fruit tones and ends rather dry. This beer hides its alcohol very well. At 9% it packs a punch but remains very drinkable and light. Four Winds has done it again creating a big, but broadly enjoyable bottle conditioned beer!",http://beermebc.com/2014/04/26/four-winds-brewing-co-triplicity-belgian-tripel/
Obsidian Dagger IPA Noire,4.0,4.1,3.9,4.0,,Black India Pale Ale,Dead Frog Brewery,Nice balance of dark richness and hop bitterness,Rather heavy for an IPA,A big and heavy dark flavoured beer with hop bitterness to boot.,6.5%,50,650,2014-Apr-21,dustansept,"6.0% - 6.9%, ABV, Black IPA, Brewery Regions, Dead Frog Brewing Co., Greater Vancouver Breweries, IPA, Top BC Beers, Types Of Beer","black ipa, dead frog","The Obsidian Dagger represents a simple but profound divestiture from the Dead Frog Brewery s traditional ways. This black and white labeled beer marks a further step in the re-branding efforts of a remarkably improved and evolving brewery. The Obsidian Dagger is a black IPA from Aldergrove s Dead Frog Brewery and it pours from the bomber bottle a deep and dark, brown colour that lets a very slight amount of light through. Topped with a finger and a half of dense and lacing head the Obsidan Dagger smells roasted-malt forward for an IPA but with it comes notes of chocolate and a bite of northwest style hops. The flavour is of a dark and delicious ale that has the body of a porter with the building hops of an IPA. The flavour has nice roasted malts and chocolate tones that build to a bitter-chocolate infused dry-hop finish. The malts balance the bitterness however and while the hops may be relatively big the beer is quite balanced making for a very enjoyable, level-headed black IPA. This beer represents another notch up the ladder for Dead Frog as the Obsidian Dagger is at the top of the heap in their diverse and evolved line of beers.",http://beermebc.com/2014/04/21/dead-frog-brewery-obsidian-dagger-ipa-noire/
Snug IPA,4.2,4.5,4.5,4.3,,India Pale Ale,Saltspring Island Ales,Great balance and flavour in an English style IPA,Hard to find ,A great tasting IPA moving beyond the traditional west-coast style.,6%,,650,2014-Apr-18,dustansept,"6.0% - 6.9%, ABV, IPA, Saltspring Island Ales, Top BC Beers, Types Of Beer, Vancouver Island Breweries","ipa, saltspring","The Snug IPA is a Pub Style India Pale Ale from the small island of Saltspring. This beer while not easy to find is a welcome addition to the roster of BC Craft Beers. Pouring this IPA it appears a light chestnut colour topped with two and a half fingers of loosely packed head. As the bubbly top settles it leaves a small amount of lacing left behind on the glass. The smell is sweet for an IPA with caramel tones, English style hops and a touch of tropical fruit. The beer has a mid-level body with a delicious, mid sweet start. light caramel tones and flavours of mango come in strong before a balancing hop bitterness kicks in around the mid-section. The finish is a balance of the fruit tones, mid-sweetness and hop bitterness making for a delicious ale that is well balanced, extremely flavourful and hard to find anything that could really be improved. This beer may not be way out there in style but what it does, it does very well!",http://beermebc.com/2014/04/18/saltspring-island-ales-snug-ipa/
Charleston Belgian Triple,4.2,4.2,3.8,3.9,,Belgian Tripel,Townsite Brewing Inc.,Strong and delicious Belgian beer,Rather boozy,"Big and strong, traditional Belgian style Tripel.",9.0%,34,650,2014-Mar-30,dustansept,"9.0% - 9.9%, ABV, Belgian, Brewery Regions, Greater Vancouver Breweries, Top BC Beers, Townsite Brewing Inc., Tripel, Types Of Beer","belgian, townsite, tripel, triple","Townsite Brewing has come a long way from it s humble beginnings becoming a pillar in the rankings of established BC Craft Breweries. One of the beers that helped them become this beacon within the talented mix of breweries is the Charleston. This Belgian-style triple is a whopping 9.0% but with it s whimsical dancing label you may just think that you were in for something with a little less bite. The Charleston pours an ever so slightly cloudy-golden colour with a tinge of copper darkness topped with two and a half fingers of quickly settling head. As the head settles very little lacing is left on the glass  sides. Through the beer s heads comes strong Belgian wheat tones with banana, coriander, sugar and a booziness. The beer s texture is bubbly and light while the flavour is quite large. Strong Belgian wheat flavours along with tones of banana, coriander and a defined sweetness mask the rather high alcohol content. The booziness is still present but the corresponding flavours help to mask it and create something bigger than the individual notes themselves. A Belgian Triple may not be for everyone but as a big, bold and powerful beer Townsite has hit the nail on the head. The Charleston is a traditional Triple that packs a punch of flavour worthy of giving a try among friends.",http://beermebc.com/2014/03/30/townsite-brewing-inc-charleston-belgian-triple/
Cloudburst Lemongrass White IPA,4.1,4.2,4.3,4.1,,"IPA, White IPA",Howe Sound Brewing,Wonderful and unique flavour combination,Heavy on the citrus notes,Lemongrass brings this on the lighter side of IPAs with great flavour.,6.0%,65,1000,2014-Mar-22,dustansept,"6.0% - 6.9%, ABV, IPA, Top BC Beers, Types Of Beer","howe sound, white ipa","White IPA s have been growing in popularity and with that boost comes room for experimentation. Howe Sound has taken the twist on tradition  and skewed it further in the form of a Lemongrass White IPA. This beer coming in the staple 1000ml bottle pours a cloudy golden colour topped with two and a half fingers of fairly loosely packed head. Through the  cloudburst  of head comes a light, floral and citrus based west coast hop. Given the scent it is not surprising that lemongrass is present but without the name it would be very hard to pick it out. The flavour is well hopped with a distinct lemongrass flavour to it. Starting off with a hop-hit the texture is rather smooth and while the piney-hop settles a distinct lemon flavour comes through. Much like the flavour of lemongrass itself though the flavour of lemon comes through without the associated acidity that you may expect. The flavour is well balanced and with the combination of a smooth texture and a lingering lemon note the finish is lightly sweet with minimal hop bitterness but a citrus-lemon-peel flavour is left behind with its own bitter-sweet finish. The idea of lemongrass may be a little foreign but the result is something the is unconventional and extremely delicious. Another winner from Howe Sound Brewing!",http://beermebc.com/2014/03/22/howe-sound-brewing-cloudburst-lemongrass-white-ipa/
Chocoholic Milk Chocolate Stout,4.0,3.8,4.2,4.2,,"Chocolate Stout, Stout",Spinnaker s Gastro Brewpub,Chocolate stout with a Lactose (Milk Stout) twist,Rather sweet for a stout,"Nice, creamy chocolate stout",7.75%,10,,2014-Mar-18,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Spinnaker's Brewing Co., Stout, Top BC Beers, Types Of Beer, Vancouver Island Breweries","milk stout, spinnakers, stout","Adorned with the new classier style of Spinnaker s label the Chocoholic is a milk chocolate stout with a very low IBU of 10. The beer pours from the bottle close to black in colour topped with two fingers of very finely packed head. Through this fluffy top comes notes of chocolate. Much like the name insinuates there is also a creaminess and a sweetness to the aroma coming from the rather unique, milk chocolate name. This beer is actually a chocolate, milk stout if you want to get particular about it. The beer s texture is rather thick and creamy as you would expect with a milk stout. The chocolate flavours are strong but the lactose and sweetness meld it all together in a beer that really does resemble milk chocolate in flavour. The sweetness is quite apparent and there is no hop-bitterness to cut that out. Any bitterness present comes from the cacao content and so the beer does come across rather sweet. That said, this is a milk chocolate stout   it should be a desert if you ask me. Pick up a bottle and give it a try   not only is it unique it is also rather tasty!",http://beermebc.com/2014/03/18/spinnakers-gastro-brewpub-chocoholic-milk-chocolate-stout/
Fireside Winter Ale,4.1,4.0,4.3,3.8,,Winter Ale,Saltspring Island Ales,Nice balance of big flavour is a smaller bodied beer,Hard to find,"Nice, light(er) winter ale from a gem of a BC brewery",7%,,650,2014-Mar-16,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Saltspring Island Ales, Top BC Beers, Types Of Beer, Vancouver Island Breweries, Winter Ale","saltspring, winter ale","Saltspring Island Ales may not make their beer extremely easy to find with limited distribution but it is a Where s Waldo for beer fanatics. When you do manage to track down a bottle you are rewarded with a delicious beer and are the envy of all those around you. The Fireside is a winter ale comes in yet another classy labeled bottle with a sophistication to the look. In pouring the beer it appears a chestnut colour and is topped with two fingers of thick, lacing head. Through this dense top of head comes strong notes of vanilla, caramel, plum and apricot making for a smooth yet intense aroma. The Fireside s texture is rather thin making for a crisper than expected winter ale. The flavour is deep however with big fruit tones, caramel and a vanilla smoothness to blend it all together. This winter ale is a great example of a fairly dark, flavourful and sweet beer that does not come across as being overly heavy. The result is a flavourful and very enjoyable beer   now all you have to do is find it!",http://beermebc.com/2014/03/16/saltspring-island-ales-fireside-winter-ale/
All Out Stout,4.0,4.3,4.0,3.7,,Stout,Bridge Brewing Co.,Great chocolate and coffee tones,Thinner than expected for a stout,"Nice, balanced stout on the lighter side of the style",5%,25,650,2014-Mar-14,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Bridge Brewing Co., Greater Vancouver Breweries, Stout, Top BC Beers","bridge, stout","North Vancouver s Bridge Brewing is bottling more of their beers and the latest to be released is the All Out Stout. This beer has a label adorned with an artists rendition of the local mountains and is a tribute to Bridge Brewing s back yard. The All Out Stout is a typical close to black colour with two fingers of thick, off-white head. This head settles slowly leaving a thick layer of lacing left on the glass. Through this dense head comes an aroma of chocolate and coffee in a relatively dry and lightly roasted package. The flavour is much like the scent with coffee and chocolate tones playing front stage on the palate. Toasted malts come through as well in a lighter than expected bodied stout. The flavour is full and rich but the texture is light enough to still go down easy. The All Out Stout is a delicious beer from Bridge Brewing and will likely not be around for long so grab it while you can!",http://beermebc.com/2014/03/14/bridge-brewing-co-all-out-stout/
Bird Of Prey Flanders Red (2014),3.8,3.8,4.5,4.0,,"Flanders Red, Sour Ale",Dirftwood Brewing Co.,Great sour flavour without going too far,Still a big sour which is not for everyone.,Big and flavourful Flanders Red,7.5%,,650,2014-Mar-12,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Driftwood Brewing Co., Sour, Top BC Beers, Vancouver Island Breweries","driftwood, flanders red, sour","Driftwood Brewing Company has been leading the charge on sour-styled beers in recent years and become quite well known for the new-to-BC styles. The Bird of Prey is a Flanders Red Style Sour Ale which pours an amber colour topped with a single finger of quickly settling head. After the head settles the glass  sides are left bare above a beer that smells of sour cherries, grapes and a touch of oak. The aroma is sharp as a sour should be but does not engulf the senses like some more potent varieties can. The flavour starts off light and bubbly with building cherry tones and a nice, sour mouth-feel. This initial lightness builds into the wine-barrel aged beer that it is with notes of deeper cherry and oak coming in as the sour tones build simultaneously. The finish is surprisingly dry with a lingering oaked sour tone that draws out slightly longer than expected. The Bird of Prey may be a Sour but it is not over-the-top. If you are interested in sours but not convinced yet this could be a great bottle to share with a friend. If you on the other hand are a fan of big sour beers this may not be off the deep-end but it is a fantastic example of a Flanders Red and you will enjoy it!",http://beermebc.com/2014/03/12/dirftwood-brewing-co-bird-of-prey-flanders-red-2014/
Extra Special Bitter (ESB),4.0,4.3,4.3,3.8,,Extra Special Bitter,Bomber Brewing,Sessionable and delicious ESB,Heavier on the malt than expected,A fabulous BC ESB available in cans all year round.,5.2%,,6,2014-Mar-07,dustansept,"5.0% - 5.9%, ABV, Bomber Brewing Co., Brewery Regions, ESB, Greater Vancouver Breweries, Top BC Beers, Types Of Beer","bomber, ESB","In East Vancouver s Bomber Brewing s initial and standard offering comes the ESB, an Extra special bitter ringing in at a modest 5.2%. This beer pours a copper colour topped with two fingers of dense and lacing head. This ESB has a nice maltiness to the aroma alongside a mild caramel sweetness and light hop. Nothing stands out as being overly unique but it is a great smelling and pleasant aroma. The flavour is rather light with a cautious, malt heavy approach to the ESB. This is not a bad thing though as the Bomber Brewing ESB is a great tasting sessionable ale. Notes of light caramel, toasted malts and a pleasant hop bitterness make for a well balanced and extremely delicious beer. Pick up a six pack at the brewery or your favourite  liquor store as this is surely a go-to for years to come.",http://beermebc.com/2014/03/07/bomber-brewing-extra-special-bitter-esb/
Trapper John s Lager,4.0,3.8,4.3,4.0,,Lager,Deep Cove Brewers & Distillers,Light and sessionable BC lager,Quite light by BC standards,Easy drinking lager for the hot days of summer (or any other time),5%,,650,2014-Mar-01,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Deep Cove Brewers & Distillers, Greater Vancouver Breweries, Lager, Top BC Beers, Types Of Beer","deep cove, lager","Deep Cove Brewers & Distillers teamed up with Seymour Mountain Resort to brew up the Trapper John s Lager. Trapper John is a legend in the North Vancouver neck of the woods and this beer is a tribute to that mad. In contrast to the West Coast Lager this beer was thought up in a traditional lager style bringing a crisp, light and sessionable beer to you for enjoying after a day on the slopes. Pouring a light, golden-straw colour this glass like beer is topped with two fingers of tightly packed head which settles quickly and with little trace. The smell is light with a crisp malt, light citrus notes and smells like this bottle may be followed by another one. The flavour too is light, fresh, slightly sweet and extremely refreshing. The body is slightly more full than you may expect but this adds an additional layer of complexity to a traditional and light lager. The easy drinking malts and citrus tones meld together with a seemingly slippery texture on the tongue. Little in the way of hops comes into play but this beer doesn t need them. For a sessionable lager this is a great beer for after a day on the slopes, a day on the beach or pretty much anything else!",http://beermebc.com/2014/03/01/deep-cove-brewers-distillers-trapper-johns-lager/
HopScotch Scottish IPA,4.0,3.8,4.2,4.0,,"India Pale Ale, Scotch Ale",Spinnakers Gastro Brewpub,Great blending of two delicious beer styles,Not a classicaly defined category,Great beer blending the best of IPA and Scotch Ale Styles.,6.4%,60,,2014-Feb-25,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, IPA, Scotch Ale, Spinnaker's Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","ipa, scotch ale, spinnakers",Spinnaker s is one of BC s top brewpubs and one of their recent beer release is a Scottish IPA called the Hop Scotch. This Scottish Ale style IPA pours a copper-brown colour coming from its Scottish Ale inspiration. With two fingers of fairly loosely packed head this beer leaves a moderate amount of lacing on the glass  sides.  The smell is well hopped with an English style bitterness along side a lightly sweetened caramel note. Beyond the front of hop bitterness there is also a fair bit of malted aroma that comes through smoothing out the ordeal. The flavour is more IPA than Scotch Ale but the depth and dark nature of a Scotch ale comes through with a bit of caramel sweetness and a reasonably big malt to go with the hop. This beer is a great melding of styles to make a beer that BC beer drinkers love (the IPA) slightly different and a tad more unique. The Spinnaker s Hop Scotch Scottish IPA is one for the books with great flavour and a positive twist on tradition.,http://beermebc.com/2014/02/25/spinnakers-gastro-brewpub-hopscotch-scottish-ipa/
King of the Carboy Glen Marshall American IPA,3.8,4.0,4.3,4.0,,India Pale Ale,Phillips Brewing Co.,Well hopped and delicious Northwest style IPA,Fairly typical flavours for a BC IPA,Traditional and delicious BC IPA.,6.5%,,650,2014-Feb-23,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, IPA, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","homebrew, ipa, phillips","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2014/02/23/phillips-brewing-co-king-carboy-glen-marshall-american-ipa/
